impl,fc,m,n,k,groups,ktile,best_ms,best_us,gflops,config,log
int4_fp8,FC1,1,1024,4096,128,128,0.201936000,201.936000,5317.230000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=19",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m1_n1024_k4096_g128_k128.log
int4_fp8,FC1,1,1024,4096,128,256,0.187259000,187.259000,5734.010000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=10",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m1_n1024_k4096_g128_k256.log
int4_fp8,FC1,1,1024,4096,128,512,0.179089000,179.089000,5995.590000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=5",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m1_n1024_k4096_g128_k512.log
int4_fp8,FC1,2,1024,4096,128,128,0.201528000,201.528000,10656.000000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=19",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m2_n1024_k4096_g128_k128.log
int4_fp8,FC1,2,1024,4096,128,256,0.184269000,184.269000,11654.100000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=10",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m2_n1024_k4096_g128_k256.log
int4_fp8,FC1,2,1024,4096,128,512,0.179959000,179.959000,11933.200000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=5",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m2_n1024_k4096_g128_k512.log
int4_fp8,FC1,4,1024,4096,128,128,0.201373000,201.373000,21328.500000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=19",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m4_n1024_k4096_g128_k128.log
int4_fp8,FC1,4,1024,4096,128,256,0.186810000,186.810000,22991.100000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=10",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m4_n1024_k4096_g128_k256.log
int4_fp8,FC1,4,1024,4096,128,512,0.178583000,178.583000,24050.200000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=5",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m4_n1024_k4096_g128_k512.log
int4_fp8,FC1,8,1024,4096,128,128,0.201616000,201.616000,42605.300000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=19",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m8_n1024_k4096_g128_k128.log
int4_fp8,FC1,8,1024,4096,128,256,0.185713000,185.713000,46253.800000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=10",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m8_n1024_k4096_g128_k256.log
int4_fp8,FC1,8,1024,4096,128,512,0.179085000,179.085000,47965.600000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=5",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m8_n1024_k4096_g128_k512.log
int4_fp8,FC1,12,1024,4096,128,128,0.201523000,201.523000,63937.600000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=19",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m12_n1024_k4096_g128_k128.log
int4_fp8,FC1,12,1024,4096,128,256,0.185005000,185.005000,69646.200000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=10",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m12_n1024_k4096_g128_k256.log
int4_fp8,FC1,12,1024,4096,128,512,0.178078000,178.078000,72355.500000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=5",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m12_n1024_k4096_g128_k512.log
int4_fp8,FC1,18,1024,4096,128,128,0.234012000,234.012000,82591.200000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _128> Stages=15",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m18_n1024_k4096_g128_k128.log
int4_fp8,FC1,18,1024,4096,128,256,0.210168000,210.168000,91961.300000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m18_n1024_k4096_g128_k256.log
int4_fp8,FC1,18,1024,4096,128,512,0.212253000,212.253000,91058.200000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_2,_1,_1> Shape<_128, _32, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m18_n1024_k4096_g128_k512.log
int4_fp8,FC1,22,1024,4096,128,128,0.234763000,234.763000,100622.000000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _128> Stages=15",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m22_n1024_k4096_g128_k128.log
int4_fp8,FC1,22,1024,4096,128,256,0.208731000,208.731000,113171.000000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m22_n1024_k4096_g128_k256.log
int4_fp8,FC1,22,1024,4096,128,512,0.211643000,211.643000,111614.000000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_2,_1,_1> Shape<_128, _32, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m22_n1024_k4096_g128_k512.log
int4_fp8,FC2,1,4096,512,128,128,0.195461000,195.461000,2746.690000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=19",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m1_n4096_k512_g128_k128.log
int4_fp8,FC2,1,4096,512,128,256,0.202653000,202.653000,2649.220000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=10",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m1_n4096_k512_g128_k256.log
